"Year","Property_Name","Portfolio_Manager_ID","Street_Address","City","Province","Postal_Code","Country","Property_Type_Raw","GFA_sqft","Weekly_Operating_Hours","Electric_Grid_kWh","Natural_Gas_m3","Total_Energy_ekWh","EUI_ekWh_sqft","Total_GHG_kg","GHG_Intensity_kg_sqft"
2018,"#11 Police Division - NEW",35000256,"2054 Davenport Rd","Toronto","Ontario","M6N 1C8","Canada","Police stations and associated offices and facilities",62000,168,1123908.182613,35006.923864,1497782.12948052,24.1577762819439,100965.546221134,1.62847655195377
2018,"#55 Police Division",35000272,"101 Coxwell Ave","Toronto","Ontario","M4L 3B3","Canada","Police stations and associated offices and facilities",23519,168,553936.11775,13229.038676,695222.25080968,29.5600259709035,42031.066829096,1.78711113691466
2018,"55 John St LED Ltg",34999123,"55 John St","Toronto","Ontario","M5V 3C6","Canada","Other",2500,168,3809644.801697,0,3809644.801697,1523.8579206788,114289.34405091,45.715737620364
2018,"55 John St Ltg Beacon",34999123,"55 John St","Toronto","Ontario","M5V3C6","Canada","Other",250,168,477143.9884,0,477143.9884,1908.5759536,14314.319652,57.257278608
2018,"Annette R.C",34999449,"333 Annette St","Toronto","Ontario","M6P 1R3","Canada","Community centres",20774,100,356478.09547,0,356478.09547,17.1598197492057,10694.3428641,0.514794592476172
2018,"Annette Street",35000296,"145 Annette St.","Toronto","Ontario","M6P 1P3","Canada","Public libraries",7804,70,169948.244585,7814.298388,253404.95136884,32.4711623999026,20109.714540898,2.57684707084803
2018,"Archives and Records Centre",34999102,"255 Spadina Rd","Toronto","Ontario","M5R 2V3","Canada","Administrative offices and related facilities, including municipal council chambers",39590,70,480158.208258,46939.289277,981469.81773636,24.7908516730578,104575.120948857,2.64145291611157
2018,"Atlantic Ave Storage Bldg",34999103,"98 Atlantic Ave","Toronto","Ontario","M6K 1X9","Canada","Administrative offices and related facilities, including municipal council chambers",43002,70,105617.726288,26977.436363,393736.74664484,9.1562426548728,54992.187041963,1.27882859034377
2018,"Beaches",35000299,"2161 Queen St. E.","Toronto","Ontario","M4L 1J1","Canada","Public libraries",7804,70,113923.956437,10548.916136,226586.38076948,29.0346464338134,23682.186590366,3.03462155181522
2018,"Beaches R.C",34999451,"6 Williamson Rd","Toronto","Ontario","M4E 1K5","Canada","Indoor recreational facilities",14445,100,161322.837759,0,161322.837759,11.168074611215,4839.68513277,0.335042238336449
2018,"Central Services Office",34999107,"329 Chaplin Cres.","Toronto","Ontario","M5N 2M9","Canada","Administrative offices and related facilities, including municipal council chambers",18299,70,181378.16795,21082.354917,406537.71846356,22.2163898827018,45940.548834057,2.5105496931011
2018,"City Hall",34999109,"100 Queen St W","Toronto","Ontario","M5H 2N1","Canada","Administrative offices and related facilities, including municipal council chambers",780061,70,13448190.390591,0,13448190.390591,17.2399214812572,403445.71171773,0.517197644437717
2018,"City Hall Eternal Flame",34999109,"100 Queen St W","Toronto","Ontario","M5H 2N1","Canada","Other",1,168,0,9830.16129,104986.1225772,104986.1225772,18883.73983809,18883.73983809
2018,"Danforth Coxwell",35000310,"1675 Danforth Ave.","Toronto","Ontario","M4C 5P2","Canada","Public libraries",9612,70,106006.322594,9829.566667,210986.09459756,21.9502803368248,22062.787245127,2.29533783241022
2018,"Davenport",35000311,"1246 Shaw St.","Toronto","Ontario","M6G 3P1","Canada","Public libraries",3606,100,81104.791063,0,81104.791063,22.4916225909595,2433.14373189,0.674748677728785
2018,"Davenport C.C",34999201,"1347 Davenport Rd","Toronto","Ontario","M6H 2H5","Canada","Community centres",2282,100,8260.675626,3775.388508,48581.82489144,21.2891432477826,7500.341592648,3.28674039993339
2018,"Deer Park",35000313,"40 St. Clair Ave. E.","Toronto","Ontario","M4T 1M9","Canada","Public libraries",16576,70,356160.543212,27183.790413,646483.42482284,39.0011718643123,62904.877679733,3.79493711870976
2018,"Dufferin St Clair",35000316,"1625 Dufferin St.","Toronto","Ontario","M6H 3L9","Canada","Public libraries",11208,70,108205.928751,17816.588709,298487.09616312,26.6316110067024,37471.844772519,3.34331234587072
2018,"East York Civic Centre",34999114,"850 Coxwell Ave","Toronto","Ontario","M4C 5R1","Canada","Administrative offices and related facilities, including municipal council chambers",67544,70,1789712.880129,104399.566785,2904700.2533928,43.0045637420467,254242.954197855,3.76410864322301
2018,"Eastview Neighbourhood Comm Ctr",34999208,"86 Blake St","Toronto","Ontario","M4J 3C9","Canada","Community centres",25510,100,342962.810824,27415.050909,635755.55453212,24.921817112196,62953.197120909,2.46778506942019
2018,"Evelyn Gregory",35000321,"120 Trowell Ave","Toronto","Ontario","M6M 1L7","Canada","Public libraries",6200,70,80490.468504,13247.891031,221977.94471508,35.8028943088839,27863.912725671,4.49417947188242
2018,"Fairbank Memorial CC",34999214,"2213 Dufferin St","Toronto","Ontario","M6E 3S2","Canada","Parking garages",40,168,25895.887252,0,25895.887252,647.3971813,776.87661756,19.421915439
2018,"Fairbank Memorial R.C.",34999214,"2213 Dufferin St","Toronto","Ontario","M6E 3S2","Canada","Community centres",19364,100,258763.016717,39790.945121,683730.31060928,35.3093529544144,84201.296078951,4.34834208216025
