"Year","Property_Name","Portfolio_Manager_ID","Street_Address","City","Province","Postal_Code","Country","Property_Type_Raw","GFA_sqft","Weekly_Operating_Hours","Electric_Grid_kWh","Natural_Gas_m3","Total_Energy_ekWh","EUI_ekWh_sqft","Total_GHG_kg","GHG_Intensity_kg_sqft"
2023,"#11 Police Division",35000256,"2054 DAVENPORT RD","Toronto","Ontario","M6N 1C8","Canada","Police Station",62000,"168",999080.7,30454.23,1324331.8764,21.3601915548387,88474.99683,1.42701607790323
2023,"#12 Police Division",35000257,"200 TRETHEWEY DR","Toronto","Ontario","M6M 5E6","Canada","Police Station",25780,"168",650772.47,12091.77,779912.5736,30.2526211636928,42751.46427,1.65831901745539
2023,"#13 Police Division",35000258,"1435 EGLINTON AVE W","Toronto","Ontario","M6C 3Z4","Canada","Police Station",20344,"168",536722.34,31438.42,872484.6656,42.8865840346048,76494.87502,3.76007053775069
2023,"#14 Police Division",35000259,"350 DOVERCOURT RD","Toronto","Ontario","M6J 2C2","Canada","Police Station",64200,"168",1247566.41,34123.53,1612005.7104,25.1091232149533,102978.29343,1.60402326214953
2023,"#51 Police Division",35000268,"51 PARLIAMENT ST","Toronto","Ontario","M5A 4L2","Canada","Police Station",56000,"168",1302388.21,88771.46,2250467.4028,40.1869179071429,209601.62096,3.74288608857143
2023,"#52 Police Division",35000269,"255 DUNDAS ST W","Toronto","Ontario","M5T 2W5","Canada","Police Station",71677,"168",1018369.37,57022.81,1627372.9808,22.7042563276923,140091.89911,1.95448887523194
2023,"#53 Police Division",35000270,"75 EGLINTON AVE W","Toronto","Ontario","M4R 2G9","Canada","Police Station",52183,"168",672026.7,64468.52,1360550.4936,26.0726768027902,144004.82792,2.75961190272694
2023,"#55 Police Division",35000272,"101 COXWELL AVE","Toronto","Ontario","M4L 3B3","Canada","Police Station",23519,"168",550453.85,16263.45,724147.496,30.7898931077002,47755.70295,2.0305158786513
2023,"175 Memorial Park Ave",34999089,"175 MEMORIAL PARK AVE","Toronto","Ontario","M4J 2K5","Canada","Office",6394,"70",69131.46,9785.46,173640.1728,27.1567364404129,20871.81246,3.26428096027526
2023,"275 Merton St",34999096,"275 MERTON ST","Toronto","Ontario","M4S 1A7","Canada","Office",66747,"70",367752.09,81317.32,1236221.0676,18.5209982111556,167243.13442,2.50562773487947
2023,"50 Richmond St. E",35000112,"50 RICHMOND ST E","Toronto","Ontario","M5C 1N7","Canada","Office",13800,"100",47280.19,12281.24,178443.8332,12.9307125507246,25010.66774,1.81236722753623
2023,"51 Lisgar",34999099,"51 LISGAR ST","Toronto","Ontario","M6J 0B9","Canada","Office",10053,"70",106668.31,6478.37,175857.3016,17.4930171690043,15644.99807,1.5562516731324
2023,"53 Strachan Ave",34999100,"805 WELLINGTON ST","Toronto","Ontario","M5V 1G8","Canada","Office",49213,"100",0,0,0,0,0,0
2023,"Annette Community Recreation Centre",34999449,"333 ANNETTE ST","Toronto","Ontario","M6P 1R3","Canada","Other - Recreation",20774,"100",322548.03,0,322548.03,15.526524983152,9676.4409,0.46579574949456
2023,"Annette Street Library",35000296,"145 ANNETTE ST","Toronto","Ontario","M6P 1P3","Canada","Library",7806,"70",174980.89,8117.16,261672.1588,33.5219265693057,20842.49106,2.67006034588778
2023,"Archives and Records Centre",34999102,"255 SPADINA RD","Toronto","Ontario","M5R 2V3","Canada","Office",39590,"70",483109.59,38189.86,890977.2948,22.5051097448851,87856.00876,2.21914647032079
2023,"Armour Heights Community Centre",34999191,"2140 AVENUE RD","Toronto","Ontario","M5M 4M7","Canada","Community Center and Social Meeting Hall",19773,"100",182173.11,20756.63,403853.9184,20.4245141556668,45338.67953,2.29295906185202
2023,"Atlantic Ave Storage Bldg",34999103,"98 ATLANTIC AVE","Toronto","Ontario","M6K 1X9","Canada","Office",43002,"70",102624.69,36159.22,488805.1596,11.3670331519464,72540.60232,1.68691229059114
2023,"Beaches Employment & Social Services",34999105,"1631 QUEEN ST E","Toronto","Ontario","M4L 1G4","Canada","Office",25327,"70",227355.11,32242.78,571708.0004,22.5730643345047,68759.03368,2.71485109487898
2023,"Beaches Library",35000299,"2161 QUEEN ST E","Toronto","Ontario","M4L 1J1","Canada","Library",8000,"70",100202.68,9914.69,206091.5692,25.76144615,22052.19989,2.75652498625
2023,"Beaches Recreation Centre",34999451,"6 WILLIAMSON RD","Toronto","Ontario","M4E 1K5","Canada","Other - Recreation",14445,"100",173377.79,0,173377.79,12.0026161301488,5201.3337,0.360078483904465
2023,"Bloor Gladstone Library",35000302,"1101 BLOOR ST W","Toronto","Ontario","M6H 1M7","Canada","Library",20627,"70",248468.36,27228.97,539273.7596,26.1440713433849,59760.90217,2.89721734474233
2023,"Centre Island Police Division",35000273,"31 AVENUE OF THE ISLANDS","Toronto","Ontario","M5J 2C3","Canada","Police Station",1001,"168",22646.61,0,22646.61,22.623986013986,679.3983,0.67871958041958
2023,"Chaplin Crescent Storage",34999107,"329 CHAPLIN CRES","Toronto","Ontario","M5N 2M9","Canada","Office",18299,"70",158788.61,18917.12,360823.4516,19.7182060003279,41103.44582,2.24621267938139
2023,"Church Isabella Resident Coop",34999199,"56 WELLESLEY ST E","Toronto","Ontario","M4Y 1G2","Canada","Community Center and Social Meeting Hall",19106,"100",901.79,0,901.79,0.0471993091175547,27.0537,0.00141597927352664
2023,"City Hall",34999109,"100 QUEEN ST W","Toronto","Ontario","M5H 2N1","Canada","Office",780061,"70",10139246.17,4234.46,10184470.2028,13.0559920349819,312311.78276,0.400368410624297
2023,"City Hall Ancillary Office Building",34999110,"75 ELIZABETH ST","Toronto","Ontario","M5G 1P4","Canada","Office",14768,"70",167713.03,15280.44,330908.1292,22.4071051733478,34385.11614,2.32835293472373
2023,"City Kids Early Learning & Child Care Centre",34999177,"34 BATHURST ST","Toronto","Ontario","M5V 3W3","Canada","Pre-school/Daycare",8460,"100",55739.82,13114.52,195802.8936,23.144550070922,26865.18752,3.17555408037825
2023,"College Shaw Library",35000309,"766 COLLEGE ST","Toronto","Ontario","M6G 1C4","Canada","Library",7684,"70",77745.41,8705.61,170721.3248,22.2177674128058,19055.83911,2.47993741671005
2023,"Danforth Coxwell Library",35000310,"1675 DANFORTH AVE","Toronto","Ontario","M4C 5P2","Canada","Library",9617,"70",129173.3,9002.15,225316.262,23.4289551835292,21168.32915,2.20113644067797
2023,"Danforth Early Learning & Child Care Centre",34999178,"1125 DANFORTH AVE","Toronto","Ontario","M4J 1M5","Canada","Pre-school/Daycare",6351,"100",125524.06,13398.53,268620.3604,42.2957582113053,29504.29793,4.64561453786805
2023,"Davenport 1347",34999201,"1347 DAVENPORT RD","Toronto","Ontario","M6H 2H5","Canada","Community Center and Social Meeting Hall",2282,"100",6560.36,4560.25,55263.83,24.2172787028922,8957.05105,3.92508810254163
2023,"Davenport Library",35000311,"1246 SHAW ST","Toronto","Ontario","M6G 3P1","Canada","Library",3604,"100",104432.78,0,104432.78,28.9769089900111,3132.9834,0.869307269700333
2023,"David Appleton Community Centre",34999202,"33 PRITCHARD AVE","Toronto","Ontario","M6N 1T4","Canada","Community Center and Social Meeting Hall",2906,"100",56025.39,5962.53,119705.2104,41.1924330350998,13134.78183,4.51988363041982
2023,"Deer Park Library",35000313,"40 ST CLAIR AVE E","Toronto","Ontario","M4T 1M9","Canada","Library",16558,"70",288079.16,37654.97,690234.2396,41.6858460925232,80977.57217,4.89054065527238
2023,"Dufferin Employment & Social Services",34999111,"900 Dufferin St","Toronto","Ontario","M6H 4A9","Canada","Office",27894,"100",193494.62,27551.11,487740.4748,17.4854977701298,58730.52091,2.10548938517244
2023,"Dufferin St Clair Library",35000316,"1625 DUFFERIN ST","Toronto","Ontario","M6H 3L9","Canada","Library",11208,"70",104820.4,23321.09,353889.6412,31.5747360099929,47944.42589,4.27769681388294
2023,"East York Civic Centre",34999114,"850 COXWELL AVE","Toronto","Ontario","M4C 5R1","Canada","Office",67544,"70",1339578.62,71960.05,2108111.954,31.2109432962217,178422.61465,2.6415760785562
2023,"East York Community Centre",34999454,"1081 PAPE AVE","Toronto","Ontario","M4K 3W6","Canada","Other - Recreation",31000,"100",436455.74,91100.74,1409411.6432,45.464891716129,188098.19374,6.06768366903226
2023,"Eastview Neighbourhood C.C.",34999208,"86 BLAKE ST","Toronto","Ontario","M4J 3C9","Canada","Community Center and Social Meeting Hall",25510,"100",456610.42,39346.31,876829.0108,34.3719721991376,89282.57411,3.49990490435123
2023,"Evelyn Gregory Library",35000321,"120 TROWELL AVE","Toronto","Ontario","M6M 1L7","Canada","Library",6200,"70",96052.9,8804.25,190082.29,30.6584338709677,19794.55125,3.19266955645161
2023,"FIRE STATION 331",59463292,"33 CLAREMONT ST","Toronto","Ontario","M6J 2M3","Canada","Fire Station",1020,,0,0,0,0,0,0
2023,"Fairbank Memorial Community Centre",34999214,"2213 DUFFERIN ST","Toronto","Ontario","M6E 3S2","Canada","Community Center and Social Meeting Hall",19364,"100",282627.8,24766.2,547130.816,28.2550514356538,56054.7042,2.8947895166288
2023,"Fairmount Park Community Centre",34999456,"1725 GERRARD ST E","Toronto","Ontario","M4L 2B3","Canada","Other - Recreation",4359,"100",5454.17,0,5454.17,1.25124340445056,163.6251,0.0375373021335169
2023,"Fire Academy",34999302,"895 EASTERN AVE","Toronto","Ontario","M4L 1A2","Canada","Fire Station",61214,"168",780541.19,132206.97,2192511.6296,35.8171599568726,277385.82507,4.53141152465122
2023,"Fire Station 131",34999315,"3135 YONGE ST","Toronto","Ontario","M4N 2K8","Canada","Fire Station",5845,"168",55771.79,10555.26,168501.9668,28.8283946621044,21949.80816,3.75531362874251
2023,"Fire Station 132",34999316,"476 LAWRENCE AVE W","Toronto","Ontario","M5M 1C4","Canada","Fire Station",7664,"168",91576.5,15565.73,257818.4964,33.6402004697286,32649.06233,4.26005510568894
2023,"Fire Station 134",34999318,"16 MONTGOMERY AVE","Toronto","Ontario","M4R 1C8","Canada","Fire Station",7126,"168",51521.19,11516.7,174519.546,24.4905341004771,23669.2164,3.32152910468706
2023,"Fire Station 135",34999319,"325 CHAPLIN CRES","Toronto","Ontario","M5N 2M9","Canada","Fire Station",12718,"168",150557.04,19319.12,356885.2416,28.0614280232741,41628.74072,3.27321439849033
2023,"Fire Station 135 - OLD",34999320,"641 EGLINTON AVE W","Toronto","Ontario","M5N 1C5","Canada","Fire Station",10592,"168",17719.66,0,17719.66,1.67292862537764,531.5898,0.0501878587613293
2023,"Fire Station 224",34999335,"1313 WOODBINE AVE","Toronto","Ontario","M4C 4E9","Canada","Fire Station",3767,"168",69942.99,10310.23,180056.2464,47.7983133528006,21904.24153,5.81477078046191
2023,"Fire Station 226",34999337,"87 MAIN ST","Toronto","Ontario","M4E 2V6","Canada","Fire Station",11808,"168",54211.06,21730.91,286297.1788,24.2460347899729,43371.40991,3.6730530072832
2023,"Fire Station 227",34999338,"1904 QUEEN ST E","Toronto","Ontario","M4L 1H4","Canada","Fire Station",10484,"168",71278.23,15312.68,234817.6524,22.3977157954979,31554.00518,3.00972960511255
2023,"Fire Station 311",34999349,"20 BALMORAL AVE","Toronto","Ontario","M4V 1J4","Canada","Fire Station",12755,"168",54608.35,13449.14,198245.1652,15.5425452920423,27474.04844,2.15398262955704
2023,"Fire Station 312",34999350,"34 YORKVILLE AVE","Toronto","Ontario","M4W 1L4","Canada","Fire Station",9806,"168",91537.64,26704.86,376745.5448,38.4199005506833,54046.16526,5.51154040995309
2023,"Fire Station 313",34999351,"441 BLOOR ST E","Toronto","Ontario","M4W 1J1","Canada","Fire Station",12099,"168",93549.49,27522.82,387493.2076,32.0268788825523,55677.82192,4.60185320439706
2023,"Fire Station 314",34999352,"12 GROSVENOR ST","Toronto","Ontario","M4Y 1A8","Canada","Fire Station",11937,"168",51854.67,21510.58,281587.6644,23.5894834883136,42877.46428,3.59197991790232
2023,"Fire Station 315",34999353,"132 BELLEVUE AVE","Toronto","Ontario","M5T 2N9","Canada","Fire Station",7244,"168",47457.92,18003.32,239733.3776,33.0940609607951,36008.11532,4.97075032026505
2023,"Fire Station 322",34999355,"256 COSBURN AVE","Toronto","Ontario","M4J 2M1","Canada","Fire Station",7535,"168",73911.66,14790.36,231872.7048,30.7727544525547,30629.63136,4.06498093696085
2023,"Fire Station 323",34999356,"153 CHATHAM AVE","Toronto","Ontario","M4J 1K8","Canada","Fire Station",10236,"168",105142.88,30383.82,429642.0776,41.9736300898789,61521.60462,6.01031698124267
2023,"Fire Station 324",34999357,"840 GERRARD ST E","Toronto","Ontario","M4M 1Y7","Canada","Fire Station",13153,"168",60410.89,18528.74,258297.8332,19.637940637117,37406.03624,2.84391669124914
2023,"Fire Station 325",34999358,"475 DUNDAS ST E","Toronto","Ontario","M5A 2B5","Canada","Fire Station",10129,"168",157333.22,23963.68,413265.3224,40.8002095369731,50754.22588,5.01078348109389
2023,"Fire Station 331",34999359,"33 CLAREMONT ST","Toronto","Ontario","M6J 2M3","Canada","Fire Station",10979,"168",90504.67,67689.4,813427.462,74.0893944803716,132746.4775,12.0909443027598
2023,"Fire Station 332",34999360,"260 ADELAIDE ST W","Toronto","Ontario","M5H 1X6","Canada","Fire Station",24865,"168",273280.51,67789.16,997268.7388,40.1073291292982,138421.39166,5.56691701829881
2023,"Fire Station 333",34999361,"207 FRONT ST E","Toronto","Ontario","M5A 1E8","Canada","Fire Station",12723,"168",113414.96,34339.87,480164.7716,37.7399018784878,69369.33907,5.45227847756032
