Model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,Track
E3,0,0,-1055.0623283253385,75.88433421546199,27.839736053854033,6.4861569449034615,2110.124656650677,151.76866843092398,Energy
E2,-26.711454306871836,12.399089533132214,-1081.773782632209,74.42123789444545,19.939068427714297,5.268891320772226,2163.547565264418,148.8424757888909,Energy
E1,-62.798753488272766,11.218894721650265,-1117.8610818136096,74.01504284863321,14.135343906486586,4.4653128648777445,2235.7221636272193,148.03008569726643,Energy
C3,0,0,-1359.0549859303362,55.212159068892824,22.613938140037753,3.5680637101201147,2718.1099718606724,110.42431813778565,Carbon
C2,-44.45222722917067,14.595729508348484,-1403.5072131595066,52.963700692738186,15.442352572084841,2.63677318425139,2807.014426319013,105.92740138547637,Carbon
C1,-79.90824488735751,14.027152301074743,-1438.9632308176938,53.32414016837933,9.650265532754425,2.165060313369791,2877.9264616353876,106.64828033675866,Carbon
