"Year","Property_Name","Portfolio_Manager_ID","Street_Address","City","Province","Postal_Code","Country","Property_Type_Raw","GFA_sqft","Weekly_Operating_Hours","Electric_Grid_kWh","Natural_Gas_m3","Total_Energy_ekWh","EUI_ekWh_sqft","Total_GHG_kg","GHG_Intensity_kg_sqft"
2020,"#11 Police Division",35000256,"2054 DAVENPORT RD","Toronto","Ontario","M6N 1C8","Canada","Police stations and associated offices and facilities",62000,168,1061136.896354,36914.084023,1455379.31371964,23.4738598987039,105929.472987865,1.70853988690105
2020,"#12 Police Division",35000257,"200 TRETHEWEY DR","Toronto","Ontario","M6M 5E6","Canada","Police stations and associated offices and facilities",25780,168,574649.015774,10131.433211,682852.72246748,26.4876928808177,38425.900718873,1.49053144759011
2020,"#13 Police Division",35000258,"1435 EGLINTON AVE W","Toronto","Ontario","M6C 3Z4","Canada","Police stations and associated offices and facilities",20344,168,491883.884516,43120.917118,952415.27933624,46.8155367349705,99067.449972706,4.86961511859546
2020,"#14 Police Division",35000259,"350 DOVERCOURT RD","Toronto","Ontario","M6J 2C2","Canada","Police stations and associated offices and facilities",64200,168,1138739.394161,21550.338852,1368897.01310036,21.3223833816255,78976.600942005,1.23016512370724
2020,"#51 Police Division",35000268,"51 PARLIAMENT ST","Toronto","Ontario","M5A 4L2","Canada","Police stations and associated offices and facilities",56000,168,1646350.716919,176224.625362,3528429.71578516,63.0076734961636,392857.078978729,7.01530498176302
2020,"#52 Police Division",35000269,"255 DUNDAS ST W","Toronto","Ontario","M5T 2W5","Canada","Police stations and associated offices and facilities",71677,168,1150825.346032,81863.919104,2025132.00206272,28.2535820704371,195237.82501784,2.72385597915426
2020,"#53 Police Division",35000270,"75 EGLINTON AVE W","Toronto","Ontario","M4R 2G9","Canada","Police stations and associated offices and facilities",52183,168,691396.783646,57710.417952,1307744.04737336,25.0607294976019,133677.80674611,2.56171179782899
2020,"#55 Police Division",35000272,"101 COXWELL AVE","Toronto","Ontario","M4L 3B3","Canada","Police stations and associated offices and facilities",23519,168,547103.12213,18265.649412,742180.25785016,31.5566247650904,53142.715550742,2.25956526853786
2020,"175 Memorial Park Ave",34999089,"175 MEMORIAL PARK AVE","Toronto","Ontario","M4J 2K5","Canada","Administrative offices and related facilities, including municipal council chambers",6394,70,81184.619829,10510.351672,193435.17568596,30.2526080209509,22869.478016269,3.57670910482781
2020,"275 Merton St",34999096,"275 MERTON ST","Toronto","Ontario","M4S 1A7","Canada","Administrative offices and related facilities, including municipal council chambers",66747,70,399790.506024,91067.998228,1372396.72709904,20.561174690983,188134.71129478,2.81862422722789
2020,"50 Richmond St. E",35000112,"50 RICHMOND ST E","Toronto","Ontario","M5C 1N7","Canada","Parking garages",1,100,57467.528471,13862.682581,205520.97843608,205520.97843608,28526.641677644,28526.641677644
2020,"51 Lisgar",34999099,"51 LISGAR ST","Toronto","Ontario","M6J 0B9","Canada","Administrative offices and related facilities, including municipal council chambers",10053,70,127796.474968,63237.233548,803170.12926064,79.8935769681329,125696.009319652,12.5033332656572
2020,"53 Strachan Ave",34999100,"805 WELLINGTON ST","Toronto","Ontario","M5V 1G8","Canada","Administrative offices and related facilities, including municipal council chambers",49213,100,254438.513683,0,254438.513683,5.17014840962754,8396.470951539,0.170614897517709
2020,"888 Cosburn Ave (Blower)",34999255,"373 CEDARVALE AVE","Toronto","Ontario","M4C 4K7","Canada","Other",1,168,6744.3456,0,6744.3456,6744.3456,222.5634048,222.5634048
2020,"Annette Community Recreation Centre",34999449,"333 ANNETTE ST","Toronto","Ontario","M6P 1R3","Canada","Indoor swimming pools",20774,100,287562.279543,0,287562.279543,13.8424126091749,9489.555224919,0.456799616102773
2020,"Annette Street Library",35000296,"145 ANNETTE ST","Toronto","Ontario","M6P 1P3","Canada","Public libraries",7806,70,166031.651086,8194.942737,253553.63951716,32.4818907913349,21221.529483615,2.718617663799
2020,"Archives and Records Centre",34999102,"255 SPADINA RD","Toronto","Ontario","M5R 2V3","Canada","Administrative offices and related facilities, including municipal council chambers",39590,70,409458.060323,48048.397429,922614.94486472,23.3042421031756,105813.087451768,2.67272259287113
2020,"Armour Heights Community Centre",34999191,"2140 AVENUE RD","Toronto","Ontario","M5M 4M7","Canada","Community centres",19773,100,165587.493742,27626.207764,460635.39266152,23.2961812907257,58534.33240813,2.960316209383
2020,"Atlantic Ave Storage Bldg",34999103,"98 ATLANTIC AVE","Toronto","Ontario","M6K 1X9","Canada","Administrative offices and related facilities, including municipal council chambers",43002,70,74359.679887,29655.561669,391081.07851192,9.0944858032631,59422.20340242,1.3818474350593
2020,"Beaches Employment & Social Services",34999105,"1631 QUEEN ST E","Toronto","Ontario","M4L 1G4","Canada","Administrative offices and related facilities, including municipal council chambers",25327,70,257236.908025,29153.914661,568600.71660448,22.4503777235551,64493.488028606,2.54643218812358
2020,"Beaches Library",35000299,"2161 QUEEN ST E","Toronto","Ontario","M4L 1J1","Canada","Public libraries",8000,70,85903.555309,9934.184411,192000.64481848,24.00008060231,21918.385578728,2.739798197341
2020,"Beaches Recreation Centre",34999451,"6 WILLIAMSON RD","Toronto","Ontario","M4E 1K5","Canada","Indoor swimming pools",14445,100,146093.914162,0,146093.914162,10.1138050648667,4821.099167346,0.333755567140602
2020,"Bloor Gladstone Library",35000302,"1101 BLOOR ST W","Toronto","Ontario","M6H 1M7","Canada","Public libraries",20627,70,253243.039452,30333.954775,577209.676449,27.9832101832065,66628.547424691,3.23016179884089
2020,"Carpark 36 (Nathan Phillips Square)",34999109,"100 QUEEN ST W","Toronto","Ontario","M5H 2N1","Canada","Parking garages",598473,168,3753031.781513,2575.366667,3780536.69751656,6.3169711875332,128797.328157236,0.215209922849044
2020,"Centre Island Police Division",35000273,"31 AVENUE OF THE ISLANDS","Toronto","Ontario","M5J 2C3","Canada","Police stations and associated offices and facilities",1001,168,17890.777529,0,17890.777529,17.8729046243756,590.395658457,0.589805852604396
2020,"Chaplin Crescent Storage",34999107,"329 CHAPLIN CRES","Toronto","Ontario","M5N 2M9","Canada","Administrative offices and related facilities, including municipal council chambers",18299,70,165964.3318,19345.275,372571.8688,20.3602310945953,42639.0962244,2.33013258781354
2020,"Church Isabella Resident Coop",34999199,"56 WELLESLEY ST E","Toronto","Ontario","M4Y 1G2","Canada","Community centres",19106,100,905.766,0,905.766,0.0474074112844133,29.890278,0.00156444457238564
2020,"City Hall",34999109,"100 QUEEN ST W","Toronto","Ontario","M5H 2N1","Canada","Administrative offices and related facilities, including municipal council chambers",780061,70,10574934.204033,0,10574934.204033,13.5565477623327,348972.828733089,0.447366076156979
2020,"City Hall Ancillary Office Building",34999110,"75 ELIZABETH ST","Toronto","Ontario","M5G 1P4","Canada","Administrative offices and related facilities, including municipal council chambers",14768,70,149959.255243,19454.57131,357734.0768338,24.2235967520179,42320.886909529,2.86571552745998
2020,"City Kids Early Learning & Child Care Centre",34999177,"34 BATHURST ST","Toronto","Ontario","M5V 3W3","Canada","Other",8460,100,64003.496581,10458.031862,175695.27686716,20.7677632230686,22201.994594075,2.62434924279846
2020,"College Shaw Library",35000309,"766 COLLEGE ST","Toronto","Ontario","M6G 1C4","Canada","Public libraries",7684,70,79922.324264,9345.407667,179731.27814756,23.390327713113,20589.964829019,2.67958938430752
2020,"Danforth Coxwell Library",35000310,"1675 DANFORTH AVE","Toronto","Ontario","M4C 5P2","Canada","Public libraries",9617,70,108746.118322,8422.033548,198693.43661464,20.6606464193241,19767.348350334,2.05545891133763
2020,"Danforth Early Learning & Child Care Centre",34999178,"1125 DANFORTH AVE","Toronto","Ontario","M4J 1M5","Canada","Other",6351,100,127727.788971,13753.468184,274614.82917612,43.2396204024752,30635.429417507,4.82371743308251
2020,"Davenport 1347",34999201,"1347 DAVENPORT RD","Toronto","Ontario","M6H 2H5","Canada","Community centres",2282,100,5922.894794,513.220588,11404.09067384,4.99741046180543,1181.35227775,0.51768285615688
2020,"Davenport Library",35000311,"1246 SHAW ST","Toronto","Ontario","M6G 3P1","Canada","Public libraries",3604,100,99348.708357,0,99348.708357,27.5662342832963,3278.507375781,0.909685731348779
2020,"David Appleton Community Centre",34999202,"33 PRITCHARD AVE","Toronto","Ontario","M6N 1T4","Canada","Community centres",2906,100,38788.569481,7298.863943,116740.43639224,40.1722079808121,15301.140427376,5.26536146847075
2020,"Deer Park Library",35000313,"40 ST CLAIR AVE E","Toronto","Ontario","M4T 1M9","Canada","Public libraries",16558,70,351943.221914,27550.104138,646178.33410784,39.0251439852543,64537.87637226,3.89768549174176
2020,"Dufferin St Clair Library",35000316,"1625 DUFFERIN ST","Toronto","Ontario","M6H 3L9","Canada","Public libraries",11208,70,103729.442279,20156.107706,318996.67257908,28.4615161116238,42142.954498433,3.76007802448546
2020,"East York Civic Centre",34999114,"850 COXWELL AVE","Toronto","Ontario","M4C 5R1","Canada","Administrative offices and related facilities, including municipal council chambers",67544,70,1338524.518516,82498.601191,2219609.57923588,32.8616839280451,202651.121998939,3.00028310433109
2020,"East York Community Centre",34999454,"1081 PAPE AVE","Toronto","Ontario","M4K 3W6","Canada","Indoor swimming pools",31000,100,401562.842838,92366.769696,1388039.94319128,44.7754820384284,190688.13839967,6.1512302709571
2020,"Eastview Neighbourhood C.C.",34999208,"86 BLAKE ST","Toronto","Ontario","M4J 3C9","Canada","Community centres",25510,100,292799.56071,36958.12105,687512.293524,26.9506975117209,80658.93604048,3.16185558763152
2020,"Eglinton Park",34999467,"200 Eglinton Ave. W","Toronto","Ontario","M4R 1C3","Canada","Other",1,100,11001.181829,0,11001.181829,11001.181829,363.039000357,363.039000357
