"Year","Property_Name","Portfolio_Manager_ID","Street_Address","City","Province","Postal_Code","Country","Property_Type_Raw","GFA_sqft","Weekly_Operating_Hours","Electric_Grid_kWh","Natural_Gas_m3","Total_Energy_ekWh","EUI_ekWh_sqft","Total_GHG_kg","GHG_Intensity_kg_sqft"
2019,"#11 Police Division",35000256,"2054 DAVENPORT RD","Toronto","Ontario","M6N 1C8","Canada","Police stations and associated offices and facilities",62000,168,1094526.352388,38230.020645,1502822.9728766,24.2390802076871,105181.133878297,1.69646990126285
2019,"#12 Police Division",35000257,"200 TRETHEWEY DR","Toronto","Ontario","M6M 5E6","Canada","Police stations and associated offices and facilities",25780,168,597164.931531,10957.035757,714186.07341576,27.70310602854,38366.248703596,1.48821756026362
2019,"#13 Police Division",35000258,"1435 EGLINTON AVE W","Toronto","Ontario","M6C 3Z4","Canada","Police stations and associated offices and facilities",20344,168,499182.136613,43072.268532,959193.96453476,47.1487399004503,97218.109811749,4.77871165020394
2019,"#14 Police Division",35000259,"350 DOVERCOURT RD","Toronto","Ontario","M6J 2C2","Canada","Police stations and associated offices and facilities",64200,168,1204703.659871,50391.496147,1742884.83872096,27.1477389208872,131738.470234646,2.0520010939976
2019,"#51 Police Division",35000268,"51 PARLIAMENT ST","Toronto","Ontario","M5A 4L2","Canada","Police stations and associated offices and facilities",56000,168,1805688.273007,128113.838539,3173944.06860352,56.6775726536343,298471.643750622,5.32985078126111
2019,"#52 Police Division",35000269,"255 DUNDAS ST W","Toronto","Ontario","M5T 2W5","Canada","Police stations and associated offices and facilities",71677,168,956680.142065,91271.701681,1931461.91601808,26.9467460415207,203076.663049086,2.8332193458025
2019,"#53 Police Division",35000270,"75 EGLINTON AVE W","Toronto","Ontario","M4R 2G9","Canada","Police stations and associated offices and facilities",52183,168,709467.850064,65296.244651,1406831.74293668,26.9595796128371,146008.653626427,2.79801187410511
2019,"#55 Police Division",35000272,"101 COXWELL AVE","Toronto","Ontario","M4L 3B3","Canada","Police stations and associated offices and facilities",23519,168,554712.370426,15724.114117,722645.90919556,30.7260474167932,46292.681961111,1.96830996050474
2019,"175 Memorial Park Ave",34999089,"175 MEMORIAL PARK AVE","Toronto","Ontario","M4J 2K5","Canada","Administrative offices and related facilities, including municipal council chambers",6394,70,86505.972843,12211.97591,216929.8755618,33.9270997125117,25967.878935557,4.06128854168861
2019,"275 Merton St",34999096,"275 MERTON ST","Toronto","Ontario","M4S 1A7","Canada","Administrative offices and related facilities, including municipal council chambers",66747,70,432922.549151,131951.774247,1842167.49810896,27.5992553689149,266034.112253866,3.98570890457797
2019,"50 Richmond St. E",35000112,"50 RICHMOND ST E","Toronto","Ontario","M5C 1N7","Canada","Parking garages",1,100,82915.226353,2955.677419,114481.86118792,114481.86118792,8082.397886136,8082.397886136
2019,"51 Lisgar",34999099,"51 LISGAR ST","Toronto","Ontario","M6J 0B9","Canada","Administrative offices and related facilities, including municipal council chambers",10053,70,210671.14029,9553.464517,312702.14133156,31.1053557476932,24461.668405567,2.43327050687029
2019,"888 Cosburn Ave (Blower)",34999255,"373 CEDARVALE AVE","Toronto","Ontario","M4C 4K7","Canada","Other",1,168,8246.071686,0,8246.071686,8246.071686,239.136078894,239.136078894
2019,"Annette Community Recreation Centre",34999449,"333 ANNETTE ST","Toronto","Ontario","M6P 1R3","Canada","Indoor swimming pools",20774,100,518618.513732,0,518618.513732,24.9647883764321,15039.936898228,0.72397886291653
2019,"Annette Street Library",35000296,"145 ANNETTE ST","Toronto","Ontario","M6P 1P3","Canada","Public libraries",7806,70,176127.446058,13218.025747,317295.96103596,40.6477019005842,30499.523395669,3.90718977653971
