Year,Year_scaled,Property_Name,Portfolio_Manager_ID,Building_Type,GFA_sqft,Weekly_Operating_Hours,Electric_Grid_kWh,Natural_Gas_m3,ELEC_factor_used,EUI_ekWh_sqft,GHG_Intensity_kg_sqft,log_EUI,log_GHG_intensity,log_GFA,log_Hours
2017,0,#11 Police Division - NEW,35000256,Police Station,62000,168.0,1123908.182613,35006.923864,0.019,24.15777628194387,1.4290734872966289,3.1846063275202825,0.3570263233054116,11.03488966402723,5.123963979403259
2017,0,#55 Police Division,35000272,Police Station,23519,168.0,553936.11775,13229.038676,0.019,29.560025970903524,1.5280313590648413,3.3864229746622785,0.42398021348193055,10.065563884101888,5.123963979403259
2017,0,Annette R.C,34999449,Community Center,20774,100.0,356478.09547,0.0,0.019,17.159819749205738,0.326036575234909,2.8425705898791076,-1.120745709936589,9.941457483787756,4.605170185988092
2017,0,Annette Street,35000296,Library,7804,70.0,169948.244585,7814.298388,0.019,32.47116239990262,2.337299314513455,3.4803523846702404,0.8489961237413726,8.962391701743002,4.248495242049359
2017,0,Archives and Records Centre,34999102,Office,39590,70.0,480158.208258,46939.289277,0.019,24.790851673057844,2.508041946401086,3.210474700965548,0.9195023476711177,10.586331840100176,4.248495242049359
2017,0,Atlantic Ave Storage Bldg,34999103,Office,43002,70.0,105617.726288,26977.436363,0.019,9.156242654872797,1.2518113588390076,2.214435904018826,0.22459158947193492,10.669001905221974,4.248495242049359
2017,0,Beaches,35000299,Library,7804,70.0,113923.956437,10548.916136,0.019,29.03464643381343,2.874041910502178,3.3684898215090717,1.0557193701887047,8.962391701743002,4.248495242049359
2017,0,Beaches R.C,34999451,Recreation,14445,100.0,161322.837759,0.0,0.019,11.168074611214953,0.2121934176130841,2.4130592268013316,-1.5502570730143652,9.578103612900335,4.605170185988092
2017,0,Central Services Office,34999107,Office,18299,70.0,181378.16795,21082.354917,0.019,22.216389882701787,2.4015186068422865,3.1008302994859838,0.8761012901011738,9.814601692527686,4.248495242049359
2017,0,City Hall,34999109,Office,780061,70.0,13448190.390591,0.0,0.019,17.239921481257234,0.32755850814388743,2.847227710773739,-1.1160885890419576,13.567127400736117,4.248495242049359
2017,0,Danforth Coxwell,35000310,Library,9612,70.0,106006.322594,9829.566667,0.019,21.950280336824804,2.1740238968573657,3.0887799110489547,0.7765797807533085,9.17076759685636,4.248495242049359
2017,0,Davenport,35000311,Library,3606,100.0,81104.791063,0.0,0.019,22.491622590959512,0.4273408292282307,3.113142910587926,-0.850173389227771,8.190354403763262,4.605170185988092
2017,0,Davenport C.C,34999201,Community Center,2282,100.0,8260.675626,3775.388508,0.019,21.289143247782647,3.246921192270815,3.0581972360939025,1.1777072218901672,7.732807530422021,4.605170185988092
2017,0,Deer Park,35000313,Library,16576,70.0,356160.543212,27183.790413,0.019,39.001171864312255,3.558585406877474,3.6635916934810986,1.2693631082777939,9.71571114505921,4.248495242049359
2017,0,Dufferin St Clair,35000316,Library,11208,70.0,108205.928751,17816.588709,0.019,26.631611006702357,3.2371145214362955,3.282098893929282,1.1746823531988255,9.324383088016843,4.248495242049359
2017,0,East York Civic Centre,34999114,Office,67544,70.0,1789712.880129,104399.566785,0.019,43.00456374204666,3.472641722676123,3.761306243597766,1.2449156076792336,11.120534516349336,4.248495242049359
2017,0,Eastview Neighbourhood Comm Ctr,34999208,Community Center,25510,100.0,342962.810824,27415.050909,0.019,24.921817112196003,2.3198983222989025,3.2157436090857567,0.8415233581225047,10.146825811135857,4.605170185988092
2017,0,Evelyn Gregory,35000321,Library,6200,70.0,80490.468504,13247.891031,0.019,35.802894308883864,4.351373801955967,3.578028736755611,1.4704916117826479,8.732304571033183,4.248495242049359
2017,0,Fairbank Memorial R.C.,34999214,Community Center,19364,100.0,258763.016717,39790.945121,0.019,35.30935295441437,4.201348011519521,3.5641478850602564,1.4354054289179405,9.871170951059584,4.605170185988092
2017,0,Fire Academy,34999302,Fire Station,61214,168.0,850405.151064,187895.647647,0.019,46.6744644678335,6.160441026564234,3.843197215721546,1.8181483702040795,11.022131200509191,5.123963979403259
2017,0,Fire Station 131,34999315,Fire Station,5845,168.0,76962.80258399999,16945.332955,0.019,44.12984748390077,5.819380300368008,3.7871363672115987,1.7611937784742058,8.67334187390617,5.123963979403259
2017,0,Fire Station 132,34999316,Fire Station,7664,168.0,91107.25732899999,17140.004979,0.019,35.772770159801674,4.522049511209551,3.5771869939346543,1.5089653227585877,8.944289319650697,5.123963979403259
2017,0,Fire Station 134,34999318,Fire Station,7126,168.0,41916.379894,13754.851658,0.019,26.497080494167832,3.8197419664614087,3.27703455689161,1.3401828722902602,8.871505346165781,5.123963979403259
2017,0,Fire Station 135 - OLD,34999320,Fire Station,10592,168.0,32630.093569,25067.325945,0.019,28.356224949169185,4.60482486009781,3.344846580997318,1.5271046364319643,9.26785427817679,5.123963979403259
2017,0,Fire Station 224,34999335,Fire Station,3767,168.0,58792.835817,11637.272581,0.019,48.60071860421555,6.231023230322273,3.883638316892105,1.8295405617403822,8.23403420769204,5.123963979403259
2017,0,Fire Station 227,34999338,Fire Station,10484,168.0,72581.926376,19114.944706,0.019,26.395415474635634,3.634000894827356,3.2731903388084738,1.2903342162115266,9.257605564443297,5.123963979403259
2017,0,Fire Station 311,34999349,Fire Station,12755,168.0,47248.64862599999,14600.884146,0.019,15.929916997669933,2.269386340130145,2.768198913467073,0.8195094602018579,9.453678630575912,5.123963979403259
2017,0,Fire Station 312,34999350,Fire Station,9806,168.0,108098.219054,25288.982206,0.019,38.5666478700877,5.163573422369162,3.6523878581525184,1.6416288635245289,9.190749722211178,5.123963979403259
2017,0,Fire Station 314,34999352,Fire Station,11937,168.0,50866.472308,24241.851517,0.019,25.950359932106892,3.9821613251243195,3.2561854797317724,1.381824718413596,9.387398099095039,5.123963979403259
2017,0,Fire Station 322,34999355,Fire Station,7535,168.0,47289.372,15249.634115,0.019,27.89057257441274,4.0070398411300605,3.3282887311673797,1.3880527744870481,8.927314111060596,5.123963979403259
2017,0,Fire Station 323,34999356,Fire Station,10236,168.0,108988.179059,38942.39764700001,0.019,51.27911156007817,7.510660539469327,3.937283487190844,2.016323416564628,9.23366619727968,5.123963979403259
2017,0,Fire Station 324,34999357,Fire Station,13153,168.0,57169.67686,20924.551354,0.019,21.336872600982282,3.1386213800177907,3.0604366841021973,1.143783652559325,9.48440514846878,5.123963979403259
2017,0,Fire Station 325,34999358,Fire Station,10129,168.0,125354.586225,26531.655227,0.019,40.350741835261125,5.266960887485635,3.697609779559623,1.661453514516899,9.223157875686796,5.123963979403259
2017,0,Fire Station 332,34999360,Fire Station,24865,168.0,281311.085667,73381.615249,0.019,42.83236422788337,5.884214499135411,3.7572939903812546,1.7722732567204558,10.12121647114884,5.123963979403259
2017,0,Fire Station 334,34999362,Fire Station,13003,168.0,346143.165258,19776.690568,0.019,42.86381762087519,3.4274969407852036,3.758028057961062,1.23183023990403,9.47293537905132,5.123963979403259
